entrezid,gene_names,gene_beebase,product,motif_count
100577332,LOC100577332,GB41785,GATA-binding factor C,2
551781,LOC551781,GB41902,pre-rRNA-processing protein TSR1 homolog,1
724616,LOC724616,GB42889,neprilysin-1,1
100642173,LOC100642173,,uncharacterized LOC100642173,2
677671,Obp3,GB53371,odorant binding protein 3,1
100577198,LOC100577198,GB55973,uncharacterized LOC100577198,1
725192,LOC725192,GB43366,major facilitator superfamily domain-containing protein 6-A,1
410231,LOC410231,GB48399,toll-like receptor Tollo,1
100578824,LOC100578824,GB54250,zinc finger protein ZIC 4,1
412914,LOC412914,GB52618,uncharacterized LOC412914,2
410172,LOC410172,GB50944,translocating chain-associated membrane protein 1-like 1,1
410068,Obp10,GB50936,odorant binding protein 10,1
410288,LOC410288,GB46635,phytanoyl-CoA dioxygenase,1
409784,LOC409784,GB48837,uncharacterized LOC409784,1
410304,LOC410304,GB54030,zinc finger homeobox protein 4,1
727037,LOC727037,GB43516,phospholipase A1 member A,1
107965212,LOC107965212,,uncharacterized LOC107965212,1
552447,LOC552447,GB45147,clavesin-2,1
551323,LOC551323,GB45152,uncharacterized LOC551323,2
409634,LOC409634,GB45265,uncharacterized LOC409634,1
413261,LOC413261,GB45275,serine/threonine-protein kinase polo,1
412273,LOC412273,GB43173,probable chitinase 10,1
552446,LOC552446,GB43208,collagen alpha-1(I) chain,1
406106,Pkc,GB43222,protein kinase C,1
410278,LOC410278,GB43225,putative inorganic phosphate cotransporter,1
409539,LOC409539,GB51380,microtubule-associated protein 2,1
409778,LOC409778,GB40670,storkhead-box protein 2,1
551737,LOC551737,GB40625,synapsin,1
412630,LOC412630,GB49363,scavenger receptor class B member 1,1
552286,LOC552286,GB49336,acetyl-CoA carboxylase,1
552265,LOC552265,GB49373,rho GTPase-activating protein 32,1
408385,Ef-1a-f1,GB52028,translation elongation factor eEF-1 alpha chain,1
726204,LOC726204,GB52039,transcription factor cwo,1
724624,LOC724624,GB47902,endocuticle structural glycoprotein SgAbd-1,1
100577146,LOC100577146,GB54787,uncharacterized LOC100577146,1
408405,LOC408405,GB48254,uncharacterized LOC408405,2
100576248,LOC100576248,GB50647,balbiani ring protein 3,2
726040,LOC726040,GB40077,4-coumarate--CoA ligase 1,1
113219215,LOC113219215,,uncharacterized LOC113219215,1
726710,Dll,GB40095,distal-less,1
724961,LOC724961,GB10395,protein drumstick,1
413481,LOC413481,GB48474,probable chitinase 10,1
550958,LOC550958,GB42276,uncharacterized LOC550958,1
100576803,LOC100576803,GB42282,uncharacterized LOC100576803,1
410489,LOC410489,GB43718,myosin-IIIb,1
409751,LOC409751,GB51840,multiple inositol polyphosphate phosphatase 1,1
552508,LOC552508,GB54193,kinesin 6A,1
551378,LOC551378,GB54111,toll-like receptor Tollo,1
100578862,LOC100578862,,DNA ligase 1,1
410498,LOC410498,GB54127,potassium voltage-gated channel subfamily H member 6,1
107965522,LOC107965522,,uncharacterized LOC107965522,2
100578563,LOC100578563,GB54137,putative uncharacterized protein DDB_G0286901,2
552592,LOC552592,GB52702,facilitated trehalose transporter Tret1,2
552724,LOC552724,GB41625,zinc finger CCCH domain-containing protein 13,1
408500,LOC408500,GB41659,endothelin-converting enzyme homolog,1
413285,LOC413285,GB41662,zinc finger CCHC domain-containing protein 24,1
724865,LOC724865,GB41188,ABC transporter G family member 20,1
410151,LOC410151,GB54432,retinal homeobox protein Rx2,1
100576341,CPR16,GB52920,cuticular protein 16,1
410620,LOC410620,GB50609,heat shock protein Hsp70Ab-like,2
100576529,LOC100576529,GB50066,uncharacterized LOC100576529,2
410582,LOC410582,GB50217,"ornithine aminotransferase, mitochondrial",2
100379261,LOC100379261,GB49960,uncharacterized LOC100379261,3
551165,LOC551165,GB51278,innexin inx3,1
408557,LOC408557,GB51282,thioredoxin domain-containing protein 5 homolog,1
107965722,LOC107965722,,uncharacterized LOC107965722,1
408563,LOC408563,GB45937,centrosomin,1
410658,LOC410658,GB45975,LIM/homeobox protein Lhx3,3
102655737,LOC102655737,,neural-cadherin,1
113219378,LOC113219378,,large subunit ribosomal RNA,1
113219383,LOC113219383,,large subunit ribosomal RNA,1
