target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,gene_name,gene_beebase,gene_id,product
XM_623922.6,3.09232E-16,1.25416E-13,-2.487147955,0.304436741,10.81807322,1.95913941,0.001800075,0.127409831,0.137222519,0.137222519,LOC551527,GB51238,551527,PREDICTED: Apis mellifera acyl-CoA Delta(11) desaturase
XM_026440272.1,4.23483E-16,1.63946E-13,3.094754793,0.380581363,9.076676512,3.045112307,0.007573242,0.207251931,0.209690019,0.209690019,LOC726585,GB44122,726585,PREDICTED: Apis mellifera dihydroceramide fatty acyl 2-hydroxylase
XM_003250751.4,4.4586E-16,1.65104E-13,5.007997432,0.616337968,9.055439292,7.979858474,0.011586359,0.558222377,0.211226662,0.558222377,LOC100578731,GB51107,100578731,PREDICTED: Apis mellifera uncharacterized LOC100578731
XR_003305673.1,5.22606E-16,1.8546E-13,4.251999621,0.524541716,7.58877695,5.734617027,0.026212393,0.362246098,0.386503624,0.386503624,LOC102656859,,102656859,PREDICTED: Apis mellifera uncharacterized LOC102656859
XM_623359.6,1.12439E-15,3.83058E-13,3.052124877,0.380922474,9.067633331,2.948198402,0.007310823,0.184637331,0.210342074,0.210342074,LOC550965,GB51383,550965,PREDICTED: Apis mellifera probable cytochrome P450 6a14
XM_393961.6,7.39702E-15,2.33335E-12,2.706942217,0.34804774,9.705424953,2.343625526,0.0035186,0.178187244,0.172396329,0.178187244,LOC410482,GB43617,410482,"PREDICTED: Apis mellifera adenylosuccinate lyase (LOC410482), mRNA."
XR_001703970.2,7.25205E-15,2.33335E-12,7.870841519,1.011675361,4.771261629,19.81322831,0.216630909,1.318599644,1.232187497,1.318599644,LOC107964857,,107964857,PREDICTED: Apis mellifera uncharacterized LOC107964857
XM_006572587.3,7.90568E-15,2.40474E-12,3.919311749,0.504475508,8.434915151,4.913696023,0.012919595,0.368823712,0.267418788,0.368823712,LOC725305,GB47520,725305,"PREDICTED: Apis mellifera uncharacterized LOC725305 (LOC725305),"
NM_001011563.1,1.12675E-14,3.30916E-12,5.113209718,0.661984098,9.998047283,8.369341622,0.006231535,0.651102884,0.160142765,0.651102884,Jhe,,406066,"Apis mellifera juvenile hormone esterase (Jhe), mRNA."
XM_394614.7,2.61195E-14,7.41532E-12,3.011440868,0.395397903,12.38803706,2.908240232,0.000568612,0.23394064,0.118643287,0.23394064,LOC411140,GB55701,411140,PREDICTED: Apis mellifera putative aldehyde dehydrogenase family 7
NM_001098217.1,1.66774E-13,4.58199E-11,7.998403535,1.084816896,4.021543447,20.46884044,0.117707306,1.477921076,1.64753424,1.64753424,Y-h,,724153,"Apis mellifera yellow-h (Y-h), mRNA."
XM_016915694.2,2.04521E-13,5.44345E-11,7.514566961,1.022973606,6.758184526,18.19638498,0.172662933,1.397049566,0.55218988,1.397049566,LOC726352,GB40137,726352,PREDICTED: Apis mellifera transmembrane protease serine 11B-like
NM_001177490.1,3.22515E-13,8.32382E-11,-2.11942266,0.290943791,14.00672995,1.426060397,0.000173896,0.097919445,0.126798537,0.126798537,CytC,,408270,"Apis mellifera mitochondrial cytochrome C (CytC), mRNA."
XM_393144.7,4.882E-13,1.22294E-10,4.602702131,0.636739881,6.779041011,6.468570369,0.060811004,0.080576866,0.547345511,0.547345511,LOC409646,GB46448,409646,PREDICTED: Apis mellifera cationic amino acid transporter 3
XM_397138.7,5.10221E-13,1.24159E-10,4.825389084,0.668100598,10.30311288,7.520944035,0.004870506,0.664667108,0.15005223,0.664667108,LOC413697,GB49937,413697,"PREDICTED: Apis mellifera PTS-dependent dihydroxyacetone kinase 1,"
XM_392104.6,1.69705E-12,4.01493E-10,3.03926663,0.430652517,13.00200866,2.993696403,0.000457213,0.277735173,0.118503585,0.277735173,LOC408559,GB51283,408559,"PREDICTED: Apis mellifera retinal dehydrogenase 1 (LOC408559),"
NM_001098717.1,1.79819E-12,4.13925E-10,6.260480404,0.88809952,9.026356209,12.70454938,0.022798071,1.160283066,0.213361239,1.160283066,Hex70c,,409354,"Apis mellifera hexamerin 70c (Hex70c), mRNA."
XM_026444749.1,5.95404E-12,1.33449E-09,2.35785451,0.342674311,9.694935702,1.695507309,0.003246375,0.031333552,0.17289215,0.17289215,LOC726690,GB49887,726690,PREDICTED: Apis mellifera probable cytochrome P450 6a14
XM_624967.6,4.25039E-11,9.28219E-09,3.117801486,0.472746875,8.908451792,3.184393362,0.007850885,0.327383527,0.222436219,0.327383527,LOC552592,GB52702,552592,PREDICTED: Apis mellifera facilitated trehalose transporter Tret1
XM_026440515.1,4.97843E-11,1.06003E-08,1.849107224,0.281379421,12.97652145,1.081022447,0.000328392,0.068750594,0.118433175,0.118433175,LOC725942,GB49614,725942,PREDICTED: Apis mellifera glutathione S-transferase 1-1
XM_026440030.1,5.58176E-11,1.15951E-08,6.251369662,0.953748028,5.689500365,12.81544916,0.300097284,1.064355669,0.857817855,1.064355669,LOC413590,GB44006,413590,"PREDICTED: Apis mellifera alkylglycerol monooxygenase (LOC413590),"
XM_623093.6,6.2437E-11,1.26613E-08,2.997317986,0.458460841,8.124632045,2.840180533,0.011701645,0.169555857,0.303577869,0.303577869,LOC409360,GB40773,409360,PREDICTED: Apis mellifera fatty acid hydroxylase domain-containing
XM_001122953.5,6.51565E-11,1.29055E-08,5.876597187,0.899745036,8.40504011,11.33176771,0.026216784,1.188094911,0.270674699,1.188094911,LOC727243,GB51436,727243,"PREDICTED: Apis mellifera uncharacterized LOC727243 (LOC727243),"
NM_001011636.1,1.7761E-10,3.43796E-08,2.688255342,0.421386396,13.11363168,2.381094828,0.000343695,0.266006047,0.118890591,0.266006047,Fabpl,,409798,"Apis mellifera FABP-like protein (Fabpl), mRNA."
XM_001120137.4,2.01678E-10,3.81709E-08,2.527394258,0.397385416,9.681946365,2.105814723,0.003695849,0.233176905,0.173511924,0.233176905,LOC724449,GB45912,724449,PREDICTED: Apis mellifera protein lethal(2)essential for life
XM_003249835.4,3.12031E-10,5.77733E-08,5.065550706,0.804991005,8.962308432,8.475553807,0.018801171,0.953214606,0.218189643,0.953214606,LOC725439,GB54508,725439,"PREDICTED: Apis mellifera uncharacterized LOC725439 (LOC725439),"
XM_624932.5,4.39603E-10,7.96616E-08,2.699466041,0.432656985,12.45739546,2.410765552,0.00052863,0.28025947,0.118436085,0.28025947,LOC552556,GB51043,552556,"PREDICTED: Apis mellifera arginase-1 (LOC552556), transcript"
XM_003250385.4,4.8107E-10,8.53598E-08,4.280286042,0.687578663,9.070179104,6.06357188,0.012389676,0.69675695,0.210158171,0.69675695,LOC100578046,GB42084,100578046,PREDICTED: Apis mellifera probable G-protein coupled receptor
XM_623592.5,9.01071E-10,1.56621E-07,2.053969559,0.335286388,12.3816869,1.400537639,0.000477651,0.168147792,0.1186647,0.168147792,LOC551197,GB45746,551197,PREDICTED: Apis mellifera probable cytochrome P450 6a13
XM_394746.7,1.16671E-09,1.98737E-07,3.419912774,0.562046281,7.275233715,3.618054347,0.029722387,0.106919279,0.444121647,0.444121647,LOC411273,GB41792,411273,PREDICTED: Apis mellifera probable serine/threonine-protein kinase
XM_392711.7,1.83705E-09,3.06787E-07,2.037484481,0.338925659,9.775845151,1.358906009,0.003130921,0.138747962,0.169174982,0.169174982,LOC409187,GB41545,409187,PREDICTED: Apis mellifera MD-2-related lipid-recognition protein
XM_026443298.1,1.98105E-09,3.24473E-07,2.952171896,0.492081679,10.32424187,2.905168926,0.00259084,0.360625728,0.149435022,0.360625728,LOC412458,GB40769,412458,"PREDICTED: Apis mellifera farnesol dehydrogenase (LOC412458), mRNA."
XM_026439034.1,3.06241E-09,4.92124E-07,-3.929012109,0.662764542,6.586881223,4.994059875,0.065308514,0.388340273,0.593576744,0.593576744,LOC107965774,,107965774,PREDICTED: Apis mellifera uncharacterized LOC107965774
XM_395092.7,3.73134E-09,5.88516E-07,2.530067459,0.429138979,10.2865577,2.14136472,0.002358755,0.273881639,0.15054247,0.273881639,LOC411622,GB53625,411622,"PREDICTED: Apis mellifera uncharacterized LOC411622 (LOC411622),"
XM_393769.7,3.86444E-09,5.98426E-07,-1.897229019,0.322115998,10.19514948,1.154804928,0.002278599,0.09142333,0.153359475,0.153359475,LOC410288,GB46635,410288,"PREDICTED: Apis mellifera phytanoyl-CoA dioxygenase (LOC410288),"
XM_395159.5,4.78182E-09,7.27263E-07,1.819883687,0.310847211,10.55092415,1.048619902,0.001584704,0.067198935,0.143354279,0.143354279,LOC411691,GB48435,411691,PREDICTED: Apis mellifera phosphotriesterase-related protein
XM_016915831.2,5.19686E-09,7.7652E-07,3.737757345,0.639945538,9.654353359,4.682685342,0.005461582,0.608833855,0.174849753,0.608833855,LOC725159,GB40284,725159,PREDICTED: Apis mellifera probable cytochrome P450 6a14
XM_006565868.3,6.72841E-09,9.88032E-07,2.079874075,0.358749493,9.395302257,1.38684773,0.004212937,0.107143162,0.188838861,0.188838861,LOC102654653,,102654653,"PREDICTED: Apis mellifera dihydropyrimidinase (LOC102654653),"
XM_394922.7,9.64115E-09,1.39176E-06,2.022180467,0.352485143,12.55124588,1.375859084,0.000439068,0.185929596,0.118233397,0.185929596,LOC406152,GB42829,406152,PREDICTED: Apis mellifera juvenile hormone epoxide hydrolase 1
XM_026445177.1,1.04974E-08,1.4901E-06,3.141273735,0.54893473,7.360157388,3.095825626,0.023817141,0.145614639,0.428176866,0.428176866,LOC725621,GB13748,725621,"PREDICTED: Apis mellifera uncharacterized LOC725621 (LOC725621),"
XM_001122458.5,1.21497E-08,1.69638E-06,5.652535096,0.992088469,5.068287834,10.3924381,0.379444961,0.629420283,1.096914336,1.096914336,LOC726737,GB41339,726737,PREDICTED: Apis mellifera venom acid phosphatase Acph-1
XM_396024.7,1.26657E-08,1.7399E-06,2.192128005,0.385224928,8.975140701,1.4995981,0.005391538,0.067071642,0.217205829,0.217205829,LOC412569,GB54260,412569,PREDICTED: Apis mellifera probable 2-oxoglutarate dehydrogenase E1
NM_001101023.1,1.82498E-08,2.4672E-06,5.327931622,0.94671268,9.271614731,9.591574488,0.010162181,1.334235166,0.196447103,1.334235166,Hex110,,551648,"Apis mellifera hexamerin 110 (Hex110), mRNA."
XM_006562266.3,2.24336E-08,2.98542E-06,7.189486008,1.285649816,3.148724769,16.0557195,0.183341072,0.503042406,2.296002101,2.296002101,LOC552070,GB40704,552070,"PREDICTED: Apis mellifera dynein intermediate chain 2, ciliary"
NM_001242576.1,3.33791E-08,4.37369E-06,3.040675573,0.550575712,7.800954631,3.137472719,0.016718347,0.437982075,0.350658704,0.437982075,LOC726880,GB52275,726880,Apis mellifera pancreatic lipase-related protein 2-like
XM_026445865.1,3.4522E-08,4.45491E-06,3.333667811,0.60427519,7.364584568,3.772180528,0.023100859,0.524621898,0.427350054,0.524621898,LOC413532,GB54367,413532,"PREDICTED: Apis mellifera phospholipase A1 (LOC413532), transcript"
XM_394112.7,3.93036E-08,4.99624E-06,1.610254539,0.293095808,12.22855939,0.880962087,0.000505741,0.128351988,0.119305634,0.128351988,LOC410635,GB54693,410635,PREDICTED: Apis mellifera fumarylacetoacetate hydrolase
XM_396074.6,4.29949E-08,5.38511E-06,-1.640413976,0.299450158,11.00984653,0.89368517,0.001100503,0.106896705,0.133405093,0.133405093,LOC412619,GB52260,412619,PREDICTED: Apis mellifera amidophosphoribosyltransferase
NM_001327966.1,6.04351E-08,7.45979E-06,-2.314275301,0.427184395,10.1427774,1.825744859,0.002282613,0.271447148,0.155062572,0.271447148,LOC551179,,551179,"Apis mellifera methyl farnesoate epoxidase (LOC551179), mRNA."
XM_001122299.4,6.55344E-08,7.97366E-06,1.898604861,0.351398075,9.524662719,1.149336581,0.003692968,0.081215101,0.181527942,0.181527942,LOC726571,GB51733,726571,PREDICTED: Apis mellifera venom acid phosphatase Acph-1
NM_001205062.1,8.70406E-08,1.04412E-05,4.464218287,0.834138735,6.700674815,6.813718389,0.05860917,0.985071973,0.565765734,0.985071973,CYP6AQ1,,408383,"Apis mellifera cytochrome P450 6AQ1 (CYP6AQ1), mRNA."
XM_624862.6,9.47434E-08,1.12074E-05,2.025258311,0.37950863,9.057865192,1.291628317,0.004990008,0.071418678,0.211050192,0.211050192,LOC552489,GB46902,552489,"PREDICTED: Apis mellifera SEC14-like protein 2 (LOC552489),"
XM_006563411.3,1.04929E-07,1.22422E-05,3.08972006,0.58099567,7.314821044,3.268978177,0.027020157,0.479313797,0.436671673,0.479313797,LOC409666,GB50101,409666,PREDICTED: Apis mellifera ABC transporter G family member 20
XM_003250091.4,1.16389E-07,1.33957E-05,3.585597004,0.67664538,11.22026354,4.406370527,0.001837201,0.684936254,0.129754331,0.684936254,LOC100577527,GB50477,100577527,PREDICTED: Apis mellifera uncharacterized LOC100577527
XM_026443981.1,1.53868E-07,1.74733E-05,1.866877704,0.3557401,9.446377089,1.147667725,0.003952494,0.123670026,0.185874033,0.185874033,LOC100577623,,100577623,PREDICTED: Apis mellifera putative uncharacterized protein
XM_006564840.2,1.70615E-07,1.91201E-05,2.104201868,0.402425489,8.753069567,1.506920748,0.007191674,0.216084698,0.235727737,0.235727737,LOC412301,GB52731,412301,PREDICTED: Apis mellifera testicular acid phosphatase homolog
XM_003251859.4,2.05569E-07,2.25383E-05,-1.971121993,0.379482982,9.050839111,1.278147206,0.004449033,0.136239258,0.211561967,0.211561967,LOC100576919,GB54699,100576919,PREDICTED: Apis mellifera uncharacterized LOC100576919
XM_003249823.4,2.06409E-07,2.25383E-05,6.602662957,1.271339136,3.919439503,15.01811128,0.304426833,2.120027965,1.713510669,2.120027965,LOC100576182,GB54554,100576182,"PREDICTED: Apis mellifera pupal cuticle protein G1A (LOC100576182),"
XM_016915073.2,2.17694E-07,2.31762E-05,6.128798458,1.18235384,4.076745165,11.64170233,0.484056373,-0.017742417,1.612884532,1.612884532,LOC100576225,GB43501,100576225,PREDICTED: Apis mellifera uncharacterized LOC100576225
XM_395323.6,2.16593E-07,2.31762E-05,-1.896729098,0.365845967,10.28743546,1.239886307,0.002015672,0.198749236,0.150516329,0.198749236,LOC411856,GB41881,411856,PREDICTED: Apis mellifera U3 small nucleolar ribonucleoprotein
XM_006561036.3,2.33347E-07,2.4536E-05,-1.454105346,0.281225795,12.54716667,0.683877566,0.000391569,0.061547004,0.118240352,0.118240352,LOC551769,GB50607,551769,"PREDICTED: Apis mellifera grpE protein homolog, mitochondrial"
XM_395732.6,2.39132E-07,2.48376E-05,-1.906725721,0.369089917,9.608053678,1.254153732,0.003021843,0.201319207,0.177159761,0.201319207,LOC412271,GB43732,412271,PREDICTED: Apis mellifera serine/threonine-protein kinase Aurora-2
XM_624148.6,3.23648E-07,3.3211E-05,3.05918775,0.598769014,6.95888031,3.137897645,0.030484385,0.382401538,0.507302113,0.507302113,LOC551761,GB40837,551761,PREDICTED: Apis mellifera alpha-tocopherol transfer protein-like
XR_411275.3,3.60576E-07,3.65598E-05,2.267347556,0.44556745,9.994497869,1.780495905,0.00288835,0.294907179,0.160274736,0.294907179,LOC102656130,,102656130,PREDICTED: Apis mellifera uncharacterized LOC102656130
XM_026439725.1,3.94653E-07,3.95442E-05,1.615770611,0.318596978,10.82971166,0.905019242,0.001452404,0.150803648,0.136977054,0.150803648,LOC410117,GB49186,410117,PREDICTED: Apis mellifera glycerophosphocholine phosphodiesterase
XR_001703590.1,4.32984E-07,4.28805E-05,3.002264739,0.594054585,8.523794536,3.127559088,0.008692039,0.520659236,0.258001045,0.520659236,LOC724825,GB45771,724825,PREDICTED: Apis mellifera glycine-rich RNA-binding protein 7
XM_026443038.1,4.39425E-07,4.30182E-05,1.448274617,0.286728344,13.70461582,0.657141844,0.000188913,0.034676131,0.123130802,0.123130802,LOC102654781,,102654781,"PREDICTED: Apis mellifera protein G12 (LOC102654781), mRNA."
XM_006557415.3,4.54409E-07,4.39796E-05,-7.037852261,1.395118696,2.518926131,15.07737803,0.019483281,0.25297759,2.900050984,2.900050984,LOC100577537,GB46629,100577537,PREDICTED: Apis mellifera uncharacterized LOC100577537
XM_006564597.3,4.87382E-07,4.66408E-05,-5.130072032,1.019648802,4.761353812,8.936700426,0.322564767,0.97919612,1.236960753,1.236960753,LOC725134,,725134,"PREDICTED: Apis mellifera nuclear RNA export factor 1 (LOC725134),"
XM_026443413.1,5.77607E-07,5.46608E-05,1.9332094,0.386753425,9.053799726,1.300683429,0.00606847,0.218298847,0.211346069,0.218298847,LOC552728,GB52642,552728,"PREDICTED: Apis mellifera uncharacterized LOC552728 (LOC552728),"
XM_006570116.3,6.56504E-07,6.13953E-05,4.504577735,0.90565981,6.961049692,7.071629799,0.075957143,1.154372394,0.506837812,1.154372394,LOC726920,GB46518,726920,"PREDICTED: Apis mellifera uncharacterized LOC726920 (LOC726920),"
XM_624409.6,6.63187E-07,6.13953E-05,1.715523765,0.34504772,10.81680802,1.025776051,0.001507921,0.177078973,0.137249312,0.177078973,LOC552028,GB54678,552028,PREDICTED: Apis mellifera sodium-coupled neutral amino acid
XM_006564541.3,1.1221E-06,0.000102763,1.869838159,0.384035588,8.995060295,1.221191792,0.005527606,0.209851606,0.215697393,0.215697393,LOC408967,GB41821,408967,PREDICTED: Apis mellifera calcium-binding mitochondrial carrier
XR_411131.3,1.48122E-06,0.000134208,2.026423313,0.42096541,11.31662169,1.444571686,0.001191203,0.264626612,0.128262629,0.264626612,LOC102653599,,102653599,PREDICTED: Apis mellifera uncharacterized LOC102653599
XM_006562623.3,1.60292E-06,0.000143706,6.190838684,1.290307346,4.295871951,13.49581674,0.242166626,2.255172946,1.482086366,2.255172946,LOC413113,GB50441,413113,PREDICTED: Apis mellifera probable serine/threonine-protein kinase
XM_003250728.4,1.62146E-06,0.000143854,6.234254994,1.299980357,3.997200985,13.68771931,0.245740587,2.289182807,1.663039105,2.289182807,LOC100578730,GB52447,100578730,PREDICTED: Apis mellifera uncharacterized LOC100578730
NM_001170973.1,1.86559E-06,0.000163806,1.392284356,0.292038733,12.94109996,0.683880664,0.000327313,0.127602619,0.118346363,0.127602619,Tpx-4,,551975,"Apis mellifera thioredoxin peroxidase 4 (Tpx-4), mRNA."
XM_006569618.3,1.92672E-06,0.000167447,2.125102869,0.446359909,8.229679469,1.552147289,0.008237511,0.238423274,0.290618242,0.290618242,LOC552039,GB44799,552039,"PREDICTED: Apis mellifera uncharacterized LOC552039 (LOC552039),"
XM_624524.6,2.01485E-06,0.000173338,2.706811566,0.569623766,7.190715349,2.46075163,0.026549116,0.301829601,0.460157736,0.460157736,LOC552145,GB45013,552145,PREDICTED: Apis mellifera repressor of RNA polymerase III
XM_016914797.2,2.20093E-06,0.000187453,1.517163963,0.320479649,10.24312325,0.722278138,0.002203557,0.03747418,0.151857251,0.151857251,LOC408320,GB43129,408320,"PREDICTED: Apis mellifera uncharacterized LOC408320 (LOC408320),"
XM_001122183.4,2.62301E-06,0.00022119,3.553141038,0.756256643,7.840171314,4.473752303,0.02208447,0.835801694,0.344425497,0.835801694,LOC726451,GB48981,726451,"PREDICTED: Apis mellifera cuticle protein 16.8 (LOC726451), mRNA."
XM_003249415.4,2.67665E-06,0.0002235,1.474259906,0.314060536,10.44226401,0.734997582,0.00179878,0.101907346,0.146152251,0.146152251,LOC727237,GB55070,727237,"PREDICTED: Apis mellifera carbonic anhydrase 2 (LOC727237), mRNA."
XM_003251802.3,3.32252E-06,0.000274737,1.320185,0.283922765,12.0519043,0.544355286,0.000573678,0.026287267,0.120344527,0.120344527,LOC725031,GB45596,725031,PREDICTED: Apis mellifera elongation of very long chain fatty acids
XM_006564722.3,3.50918E-06,0.000287382,1.35501244,0.292121911,11.40585713,0.624112652,0.001023781,0.090595017,0.126979036,0.126979036,LOC725325,GB46579,725325,PREDICTED: Apis mellifera glucose-6-phosphate 1-dehydrogenase
NM_001178069.1,3.6681E-06,0.00029689,-1.320080164,0.285154351,11.91532865,0.604286617,0.000598756,0.101280151,0.12137075,0.12137075,Cat,,443552,"Apis mellifera catalase (Cat), mRNA."
XM_006557892.3,3.69501E-06,0.00029689,1.785060148,0.385722155,8.96447354,1.051826269,0.005149481,0.114718456,0.21802289,0.21802289,LOC102655788,,102655788,PREDICTED: Apis mellifera uncharacterized LOC102655788
XM_001120471.5,3.93945E-06,0.000313573,-1.445807241,0.313314782,15.0004669,0.724092016,7.03582E-05,0.121160195,0.14717887,0.14717887,LOC725274,GB55232,725274,PREDICTED: Apis mellifera 3-hydroxyacyl-CoA dehydrogenase type-2
XM_006563102.3,4.10204E-06,0.000323491,7.100714519,1.541574479,4.061156666,17.97778625,0.058942308,3.505735505,1.622598028,3.505735505,LOC409176,GB45957,409176,"PREDICTED: Apis mellifera pro-resilin (LOC409176), mRNA."
XM_006565491.3,4.63098E-06,0.000361854,1.677061774,0.366103051,11.40475114,1.004598591,0.000883239,0.200163927,0.126994377,0.200163927,LOC724749,GB42493,724749,"PREDICTED: Apis mellifera uncharacterized LOC724749 (LOC724749),"
XM_026440890.1,5.15585E-06,0.000399203,1.465690653,0.321540134,11.30610629,0.768540396,0.001067528,0.154014559,0.128420043,0.154014559,LOC413012,GB45735,413012,PREDICTED: Apis mellifera EH domain-containing protein 3
XM_006569901.3,5.6072E-06,0.000430239,1.332295676,0.293412992,11.76238294,0.635812951,0.000775393,0.128361383,0.122755112,0.128361383,LOC725552,GB41333,725552,PREDICTED: Apis mellifera DNA-directed RNA polymerase III subunit
XM_395905.6,6.145E-06,0.000467295,2.450663875,0.542021844,8.111514474,2.154271244,0.01159532,0.429086199,0.305280462,0.429086199,LOC412448,GB42924,412448,"PREDICTED: Apis mellifera zinc transporter ZIP1 (LOC412448), mRNA."
XM_006572291.3,6.31811E-06,0.000472029,3.155096153,0.698732782,7.055144854,3.57226252,0.036239,0.696102251,0.487123189,0.696102251,LOC100576886,GB52528,100576886,PREDICTED: Apis mellifera uncharacterized LOC100576886
XM_001122741.5,6.30955E-06,0.000472029,3.912565652,0.866428111,5.266789103,5.127661091,0.111593499,0.557419123,1.014453008,1.014453008,LOC727028,GB42800,727028,"PREDICTED: Apis mellifera uncharacterized LOC727028 (LOC727028),"
XM_026445837.1,6.5243E-06,0.000483196,2.608616071,0.578580972,7.085100981,2.146297907,0.021114276,0.109928931,0.481019635,0.481019635,LOC551214,GB47626,551214,"PREDICTED: Apis mellifera uncharacterized LOC551214 (LOC551214),"
XM_006557392.2,6.64332E-06,0.000487769,2.218005583,0.492364158,7.799575984,1.535100178,0.012753447,0.061290988,0.350880249,0.350880249,LOC726450,GB42142,726450,PREDICTED: Apis mellifera nuclear hormone receptor FTZ-F1
XM_392078.7,6.82977E-06,0.000492959,1.722832184,0.382943009,9.00667245,1.042217389,0.00514219,0.18457302,0.214825832,0.214825832,LOC408532,GB50123,408532,"PREDICTED: Apis mellifera myophilin (LOC408532), mRNA."
